"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"108","Hangzhou Electronic Soul Network Technology","603258.SS","117520456","4.56","China"
"109","CROOZ","2138.T","109478079","7.63","Japan"
"110","GuangZhou Wahlap Technology","301011.SZ","105521900","2.97","China"
"111","Maximum Entertainment","8R7.F","103183940","0.6","Sweden"
"112","Aiming Inc","3911.T","102930928","2.73","Japan"
"113","geechs","7060.T","100019894","5.39","Japan"
"114","Devolver Digital","DEVO.L","98152000","0.23","United States"
"115","FingerTango","6860.HK","96201723","0.01","China"
"116","East Side Games","EAGR.TO","92347047","0.37","Canada"
"117","UNITED","2497.T","90689544","6.61","Japan"
"118","Bragg Gaming Group","BRAG","89236466","5.5444","Canada"
"119","Mynet","3928.T","81265467","2.51","Japan"
"120","Drecom","3793.T","81122682","3.53","Japan"
"121","Bank of Innovation","4393.T","78601893","38.46","Japan"
"122","Kaiser (China) Culture","002425.SZ","75067036","0.66","China"
"123","Softstar Entertainment","6111.TWO","74644794","2.14","Taiwan"
"124","NJ Holdings","9421.T","74127355","3.83","Japan"
"125","Snail Inc","SNAL","69923501","1.22","China"
"126","7Road","0797.HK","65997552","0.29","China"
"127","BoomBit","BBT.WA","65875375","3.03","Poland"
"128","Shen Zhen Shengxunda Technology (gamexun)","300518.SZ","62716997","2.6","China"
"129","Remedy Entertainment","REMEDY.HE","58044302","26.52","Finland"
"130","PlayWay","PLW.WA","56186466","99.44","Poland"
"131","MacroWell OMG Digital Entertainment","3687.TWO","55511523","2.73","Taiwan"
"132","X-Legend Entertainment","4994.TW","55333898","1.37","Taiwan"
"133","PopReach","POPR.V","55113941","0.17","Canada"
"134","Boyaa Interactive","0434.HK","54271520","0.07","China"
"135","Sichuan Xunyou Network Technology","300467.SZ","53627280","2.16","China"
"136","Userjoy Technology","3546.TWO","52742574","2.42","Taiwan"
"137","tinyBuild","8Z3.F","52153000","0.18","United States"
"138","RealNetworks","RNWK","50242000","0.73","United States"
"139","Imagineer","4644.T","50239403","6.9","Japan"
"140","Broccoli","2706.T","49451431","10.32","Japan"
"141","Appirits","4174.T","48824823","7.38","Japan"
"142","Asiasoft","AS.BK","44874350","0.36","Thailand"
"143","Tose Software","4728.T","44713361","5.1","Japan"
"144","AltPlus","3672.T","42113804","1.55","Japan"
"145","CyberStep","3810.T","42065092","2.89","Japan"
"146","coly","4175.T","41129868","7.19","Japan"
"147","Netmarble Joybomb","6468.TWO","39073346","0.94","Taiwan"
"148","Shenzhen Zqgame","300052.SZ","39051824","2.35","China"
"149","People Can Fly","PCF.WA","38592106","10.32","Poland"
"150","Voltage","3639.T","36587953","2.06","Japan"
"151","MAG Interactive","MAGI.ST","36228137","1.36","Sweden"
"152","Silicon Studio","3907.T","34681553","10.87","Japan"
"153","Nippon Ichi Software","3851.T","34216572","7.9","Japan"
"154","Fire Rock","1909.HK","32746039","0.07","China"
"155","enish","3667.T","32321939","1.8","Japan"
"156","Yuke's","4334.T","31849065","12.74","Japan"
"157","TENDA","4198.T","30977973","12.16","Japan"
"158","CMON","1792.HK","30460303","0.01","Singapore"
"159","CAVE Interactive","3760.T","28035253","12.93","Japan"
"160","WonderPlanet","4199.T","27212726","7.8","Japan"
"161","Mobcast","3664.T","27050483","0.56","Japan"
"162","Gamesparcs","6542.TWO","25322566","1.8","Taiwan"
"163","Fragbite Group","FRAG.ST","24720023","0.21","Sweden"
"164","Mobile Factory","3912.T","23595004","5.78","Japan"
"165","Ourgame International","6899.HK","22569483","0.03","China"
"166","Forgame","0484.HK","22305990","0.11","China"
"167","Edia","3935.T","21019657","3.08","Japan"
"168","The9","NCTY","20944524","0.8282","China"
"169","GAME HOURS","6626.TWO","20672952","0.48","Taiwan"
"170","Gala Incorporated","4777.T","20266722","2.39","Japan"
"171","PlaySide Studios","PLY.AX","20119858","0.28","Australia"
"172","Axel Mark","3624.T","19797642","1.77","Japan"
"173","Super League Gaming","SLGG","19677000","0.116","United States"
"174","Nihon Falcom","3723.T","18701373","9.11","Japan"
"175","Infinities Tech (Jiu Zun Digital)","1961.HK","18033929","0.19","China"
"176","11 bit studios","11B.WA","16693786","167.1","Poland"
"177","ATARI","ALATA.PA","16631135","0.15","France"
"178","Feiyu Technology International Company","1022.HK","16444814","0.04","China"
"179","Sino-Entertainment Technology","6933.HK","16363051","0.04","China"
"180","CI Games","CI7.F","15053668","1.43","Poland"
"181","Bloober Team","6BO.SG","13555825","5.14","Poland"
"182","Fun Yours Technology","6482.TWO","12865221","1.32","Taiwan"
"183","Digital Hollywood Interactive","2022.HK","12753453","0.01","China"
"184","Creepy Jar","CRJ.WA","12222500","171.71","Poland"
"185","Chinese Gamer International","3083.TWO","12214104","1.37","Taiwan"
"186","Don't Nod Entertainment","ALDNE.PA","11892412","8.76","France"
"187","Starbreeze","STAR-B.ST","11703403","0.11","Sweden"
"188","Gameone","8282.HK","11658432","0.02","Hong Kong"
"189","Linekong Interactive","8267.HK","10444177","0.02","China"
"190","Motorsport Gaming","MSGM","10324559","4.26","United States"
"191","Forever Entertainment","8FE.SG","8897331","0.96","Poland"
"192","Artifex Mundi","ART.WA","8674199","4.61","Poland"
"193","Vivid Games","VVD.WA","8387163","0.21","Poland"
"194","Nitro Games","NITRO.ST","8200059","0.3","Finland"
"195","Blue Hat","BHAT","6904505","1.4","China"
"196","Ultimate Games","ULG.WA","6019570","4.04","Poland"
"197","Trophy Games","TGAMES.CO","5732577","0.53","Denmark"
"198","GigaMedia","GIGM","5585340","1.405","Taiwan"
"199","Big Cheese Studio","BCS.WA","5552812","9.41","Poland"
"200","Wayi International Digital Entertainment","3086.TWO","4927229","2.04","Taiwan"
"201","All in! Games","ALG.WA","4544240","0.46","Poland"
"202","Tapinator","TAPM","3545933","0.6","United States"
"203","Kuuhubb","KUU.V","3416344","0.01","Canada"
"204","Mighty Kingdom","MKL.AX","3369067","0.01","Australia"
"205","Qiiwi Games","QIIWI.ST","2937304","1.23","Sweden"
"206","Astro Corporation","3064.TWO","2809663","0.49","Taiwan"
"207","Freeze Tag","FRZT","2099055","0.014","United States"
"208","T-Bull","TBL.WA","1816795","1.76","Poland"
"209","Sozap","SOZAP.ST","1633481","0.5","Sweden"
"210","5th Planet Games","5PG.OL","1616062","0.16","Denmark"
"211","iCandy Interactive","ICI.AX","1409094","0.02","Australia"
"212","Games Operators","GOP.WA","1354645","7.49","Poland"
"213","iEntertainment Network","IENT","1299000","0.0005","United States"
"214","Versus Systems","VS","1108840","0.283","Canada"
"215","Gaming Corps","GCOR.ST","757261","0.18","Sweden"
"216","Playgon Games","DEAL.V","631614","0.04","Canada"
"217","LL Lucky Games","LADYLU.ST","554237","0.07","Sweden"
"218","Akili","AKLI","418000","0.98","United States"
"219","Gaming Factory","GIF.WA","322403","2.67","Poland"
"220","Virtual Interactive Technologies","VRVR","142458","0.37495","Bermuda"
"221","InterServ International","6169.TWO","135365","0.64","Taiwan"
"222","Gaming Technologies (Gametech)","GMGT","102816","0.001","United States"
"223","ManyDev Studio","MAN.WA","63960","0.2","Poland"
"224","PunkPirates","PUN.WA","3662","0.13","Poland"
"225","Webzen","069080.KQ","0","10.66","South Korea"
"226","Wemade","112040.KQ","0","27.07","South Korea"
"227","Neowiz Games","095660.KQ","0","26.44","South Korea"
"228","The NFT Gaming Company","NFTG","0","0.431","United States"
"229","Com2uS","078340.KQ","0","35.55","South Korea"
"230","Pearl Abyss","263750.KQ","0","36.22","South Korea"
"231","Playground Ventures","PLAY.CN","0","0.01","Canada"
